"","id","crime"
"129","Tarde-2014-12-31-Van Nuys","SHOPLIFTING - PETTY THEFT ($950 & UNDER)"
"130","Tarde-2014-12-31-Van Nuys","SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT"
"131","Noite-2014-12-31-Van Nuys","ROBBERY"
"132","Noite-2014-12-28-Van Nuys","TRESPASSING"
"133","Noite-2014-12-30-Van Nuys","BURGLARY FROM VEHICLE"
"134","Manha-2014-12-31-Van Nuys","THEFT PLAIN - PETTY ($950 & UNDER)"
"135","Tarde-2014-12-08-Van Nuys","THEFT PLAIN - PETTY ($950 & UNDER)"
"136","Manha-2014-12-30-Van Nuys","THEFT PLAIN - PETTY ($950 & UNDER)"
"137","Manha-2014-12-30-Van Nuys","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"138","Manha-2014-12-08-Van Nuys","DOCUMENT FORGERY / STOLEN FELONY"
"139","Noite-2014-12-23-Van Nuys","THEFT PLAIN - PETTY ($950 & UNDER)"
"140","Tarde-2014-12-14-Van Nuys","BUNCO, GRAND THEFT"
"141","Noite-2014-12-11-Van Nuys","THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)"
"142","Manha-2014-12-28-Van Nuys","BURGLARY"
"143","Noite-2014-12-30-Van Nuys","VEHICLE - STOLEN"
"144","Madrugada-2014-12-31-Van Nuys","BURGLARY FROM VEHICLE"
"145","Noite-2014-12-30-Van Nuys","VEHICLE - STOLEN"
"146","Noite-2014-12-27-Van Nuys","BURGLARY"
"147","Noite-2014-12-30-Van Nuys","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
"148","Tarde-2014-12-31-Van Nuys","VEHICLE - STOLEN"
"149","Madrugada-2014-12-22-Van Nuys","BURGLARY FROM VEHICLE"
"150","Tarde-2014-12-22-Van Nuys","THEFT OF IDENTITY"
"151","Tarde-2014-12-30-Van Nuys","THEFT PLAIN - PETTY ($950 & UNDER)"
"152","Manha-2014-12-31-Van Nuys","VANDALISM - MISDEAMEANOR ($399 OR UNDER)"
"153","Tarde-2014-12-31-Van Nuys","SHOPLIFTING - PETTY THEFT ($950 & UNDER)"
"154","Tarde-2014-12-30-West Valley","BURGLARY"
"155","Madrugada-2014-12-31-West Valley","ROBBERY"
"156","Noite-2014-12-29-West Valley","BURGLARY FROM VEHICLE"
"157","Madrugada-2014-12-31-West Valley","SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT"
"158","Madrugada-2014-12-31-West Valley","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"159","Manha-2014-12-30-West Valley","CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT"
"160","Manha-2014-12-30-West Valley","VEHICLE - STOLEN"
"161","Manha-2014-12-09-West Valley","THEFT OF IDENTITY"
"162","Noite-2014-12-30-West Valley","THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)"
"163","Manha-2014-12-27-West Valley","THEFT PLAIN - PETTY ($950 & UNDER)"
"164","Manha-2014-12-31-West Valley","BURGLARY"
"165","Manha-2014-12-29-West Valley","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
"166","Tarde-2014-12-31-West Valley","SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT"
"167","Tarde-2014-12-31-West Valley","ROBBERY"
"168","Tarde-2014-12-30-West Valley","BURGLARY"
"169","Manha-2014-12-22-West Valley","BURGLARY"
"170","Manha-2014-12-31-Northeast","VANDALISM - MISDEAMEANOR ($399 OR UNDER)"
"171","Madrugada-2014-12-31-Northeast","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"172","Tarde-2014-12-30-Northeast","BURGLARY FROM VEHICLE"
"173","Madrugada-2014-12-31-Northeast","VIOLATION OF COURT ORDER"
"174","Noite-2014-12-30-Northeast","VEHICLE - STOLEN"
"175","Noite-2014-12-30-Northeast","VEHICLE - STOLEN"
"176","Noite-2014-12-30-Northeast","VEHICLE - STOLEN"
"177","Noite-2014-12-30-Northeast","VEHICLE - STOLEN"
"178","Noite-2014-12-30-Northeast","LEWD CONDUCT"
"179","Tarde-2014-12-29-Northeast","BURGLARY"
"180","Tarde-2014-12-30-Northeast","SHOPLIFTING - PETTY THEFT ($950 & UNDER)"
"181","Tarde-2014-12-30-Northeast","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)"
"182","Tarde-2014-12-30-Northeast","THEFT PLAIN - PETTY ($950 & UNDER)"
"183","Tarde-2014-12-30-Northeast","VEHICLE - STOLEN"
"184","Manha-2014-12-31-Northeast","THEFT PLAIN - PETTY ($950 & UNDER)"
"185","Manha-2014-12-31-Northeast","SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT"
"186","Tarde-2014-12-31-Northeast","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"187","Noite-2014-12-30-Northeast","BURGLARY"
"188","Manha-2014-12-28-Northeast","BURGLARY, ATTEMPTED"
"189","Noite-2014-12-16-Northeast","BATTERY - SIMPLE ASSAULT"
"190","Tarde-2014-12-16-Northeast","THEFT OF IDENTITY"
"191","Tarde-2014-12-31-Northeast","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
"192","Madrugada-2014-12-30-Northeast","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
"193","Manha-2014-12-17-Northeast","VANDALISM - MISDEAMEANOR ($399 OR UNDER)"
"194","Noite-2014-12-27-Northeast","BUNCO, ATTEMPT"
"195","Noite-2014-12-31-77th Street","CRIMINAL HOMICIDE"
"196","Noite-2014-12-31-77th Street","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"197","Noite-2014-12-31-77th Street","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"198","Noite-2014-12-31-77th Street","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"199","Tarde-2014-12-30-77th Street","ATTEMPTED ROBBERY"
"200","Noite-2014-12-29-77th Street","BURGLARY FROM VEHICLE"
"201","Manha-2014-12-29-77th Street","RAPE, FORCIBLE"
"202","Tarde-2014-12-30-77th Street","THEFT PLAIN - PETTY ($950 & UNDER)"
"203","Noite-2014-12-30-77th Street","THEFT PLAIN - PETTY ($950 & UNDER)"
"204","Madrugada-2014-12-31-77th Street","SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT"
"205","Tarde-2014-12-30-77th Street","CRIMINAL THREATS - NO WEAPON DISPLAYED"
"206","Noite-2014-12-30-77th Street","CRIMINAL THREATS - NO WEAPON DISPLAYED"
"207","Noite-2014-12-30-77th Street","BATTERY POLICE"
"208","Noite-2014-12-30-77th Street","BATTERY POLICE"
"209","Noite-2014-12-30-77th Street","BATTERY - SIMPLE ASSAULT"
"210","Noite-2014-12-30-77th Street","BATTERY - SIMPLE ASSAULT"
"211","Tarde-2014-12-31-77th Street","VEHICLE - STOLEN"
"212","Tarde-2014-12-23-77th Street","ROBBERY"
"213","Noite-2014-12-30-77th Street","VEHICLE - STOLEN"
"214","Noite-2014-12-29-77th Street","VEHICLE - STOLEN"
"215","Madrugada-2014-12-31-77th Street","ROBBERY"
"216","Noite-2014-12-30-77th Street","THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)"
"217","Noite-2014-12-30-77th Street","VEHICLE - STOLEN"
"218","Madrugada-2014-12-31-77th Street","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
"219","Tarde-2014-11-24-77th Street","THEFT OF IDENTITY"
"220","Noite-2014-12-30-77th Street","BURGLARY"
"221","Tarde-2014-12-29-77th Street","THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)"
"222","Noite-2014-12-30-Newton","VEHICLE - STOLEN"
"223","Tarde-2014-12-31-Newton","CRIMINAL HOMICIDE"
"224","Noite-2014-12-30-Newton","VEHICLE - STOLEN"
"225","Noite-2014-12-30-Newton","VEHICLE - STOLEN"
"226","Manha-2014-12-31-Newton","SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT"
"227","Noite-2014-12-30-Newton","THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)"
"228","Tarde-2014-12-17-Newton","THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)"
"229","Manha-2014-12-27-Newton","THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)"
"230","Tarde-2014-12-15-Newton","THEFT OF IDENTITY"
"231","Madrugada-2014-12-23-Pacific","SHOTS FIRED AT INHABITED DWELLING"
"232","Noite-2014-11-15-Pacific","EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
"233","Noite-2014-11-15-Pacific","EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
"234","Noite-2014-11-08-Pacific","EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
"235","Tarde-2014-11-06-Pacific","EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
"236","Tarde-2014-12-28-Pacific","VEHICLE - STOLEN"
"237","Madrugada-2014-12-31-Pacific","VEHICLE - STOLEN"
"238","Tarde-2014-12-27-Pacific","VEHICLE - STOLEN"
"239","Tarde-2014-12-30-Pacific","BURGLARY"
"240","Manha-2014-12-17-Pacific","THEFT PLAIN - PETTY ($950 & UNDER)"
"241","Tarde-2014-12-26-Pacific","THEFT OF IDENTITY"
"242","Manha-2014-12-31-Pacific","VEHICLE - STOLEN"
"243","Manha-2014-12-31-Pacific","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"244","Manha-2014-12-31-Pacific","VIOLATION OF COURT ORDER"
